timestamp,bead_x,bead_y,bead_z
172.06665,0.001268,0.034623,0.133959
172.070801,0.000936,0.026573,0.139044
172.075073,0.000556,0.011648,0.140453
172.079224,0.000203,-0.002656,0.137252
172.083374,-0.000232,-0.014483,0.129655
172.087524,-0.00069,-0.028607,0.120012
172.091675,-0.001046,-0.038853,0.110355
172.095825,-0.001179,-0.041847,0.103529
172.099976,-0.000996,-0.039661,0.102066
172.104248,-0.000944,-0.040283,0.107846
172.108398,-0.001258,-0.042443,0.119691
172.112549,-0.000968,-0.039842,0.132285
172.116699,-0.000787,-0.038812,0.140037
172.12085,-0.001192,-0.041282,0.140685
172.125,-0.000972,-0.038947,0.135117
172.12915,-0.0004,-0.031007,0.125975
172.133301,-0.000531,-0.020896,0.11573
172.137573,-0.00021,-0.007627,0.106858
172.141724,0.000627,0.007965,0.101697
172.145874,0.000965,0.020164,0.101527
172.150024,0.000904,0.030466,0.105237
172.154175,0.001364,0.038995,0.111668
172.158325,0.001385,0.040575,0.119199
172.162476,0.001235,0.037972,0.126948
172.166748,0.001335,0.034612,0.133872
172.170898,0.000972,0.026093,0.138977
172.175049,0.000579,0.011586,0.14046
172.179199,0.000251,-0.002363,0.137389
172.18335,-0.000403,-0.014779,0.129821
172.1875,-0.000773,-0.028684,0.120115
172.19165,-0.000841,-0.038107,0.110524
172.195801,-0.001053,-0.040893,0.103838
172.200073,-0.001126,-0.03969,0.102248
172.204224,-0.000935,-0.040919,0.108052
172.208374,-0.001047,-0.042005,0.119803
172.212524,-0.001022,-0.039156,0.132369
172.216675,-0.000967,-0.039459,0.140132
172.220825,-0.00108,-0.041795,0.140684
172.224976,-0.000817,-0.038199,0.135195
172.229248,-0.000572,-0.030647,0.126039
172.233398,-0.000611,-0.021585,0.115744
172.237549,-0.000016,-0.007693,0.106873
172.241699,0.000442,0.008195,0.101671
172.24585,0.000781,0.019688,0.101541
172.25,0.001139,0.030502,0.10527
172.25415,0.001206,0.039229,0.111649
172.258301,0.001073,0.040609,0.119217
172.262573,0.001427,0.037776,0.12698
172.266724,0.001339,0.034778,0.133893
172.270874,0.00071,0.026397,0.139038
172.275024,0.000717,0.01158,0.140493
172.279175,0.000361,-0.002441,0.137413
172.283325,-0.000538,-0.014672,0.129813
172.287476,-0.000599,-0.028565,0.120094
172.291748,-0.000758,-0.038086,0.110519
172.295898,-0.001335,-0.040812,0.103817
172.300049,-0.001107,-0.039604,0.102194
172.304199,-0.000643,-0.04097,0.107994
172.30835,-0.001207,-0.042021,0.119675
172.3125,-0.001207,-0.039038,0.132251
172.31665,-0.000706,-0.039454,0.140039
172.320801,-0.001112,-0.041855,0.140639
172.325073,-0.001075,-0.038148,0.13521
172.329224,-0.000426,-0.030502,0.126033
172.333374,-0.000465,-0.021689,0.115758
172.337524,-0.000263,-0.007876,0.106905
172.341675,0.000538,0.008096,0.101701
172.345825,0.000898,0.019569,0.101577
172.349976,0.000859,0.030397,0.105262
172.354248,0.001201,0.039321,0.111657
172.358398,0.001275,0.040711,0.119231
172.362549,0.001194,0.037634,0.126966
172.366699,0.001208,0.034741,0.133861
172.37085,0.000931,0.026581,0.139019
172.375,0.000637,0.011662,0.140471
172.37915,0.000263,-0.002587,0.137396
172.383301,-0.000376,-0.014478,0.129801
172.387573,-0.000707,-0.02844,0.120135
172.391724,-0.000829,-0.038243,0.110549
172.395874,-0.001285,-0.041076,0.103805
172.400024,-0.00113,-0.039404,0.102158
172.404175,-0.000605,-0.040705,0.107908
172.408325,-0.001176,-0.0422,0.119589
172.412476,-0.001264,-0.03922,0.132169
172.416748,-0.000654,-0.039251,0.139992
172.420898,-0.001062,-0.041775,0.14065
172.425049,-0.001129,-0.038482,0.135192
172.429199,-0.000362,-0.030656,0.126065
172.43335,-0.000369,-0.02156,0.115844
172.4375,-0.000384,-0.008015,0.107011
172.44165,0.000503,0.007876,0.101784
172.445801,0.000967,0.019566,0.101617
172.450073,0.000716,0.030486,0.105253
172.454224,0.001148,0.039252,0.111658
172.458374,0.001351,0.040528,0.11921
172.462524,0.001153,0.037761,0.126921
172.466675,0.001195,0.03483,0.133819
172.470825,0.000993,0.026507,0.138955
172.474976,0.00065,0.011623,0.140433
172.479248,0.000319,-0.002495,0.137387
172.483398,-0.000289,-0.014454,0.129842
172.487549,-0.000668,-0.028342,0.120174
172.491699,-0.000728,-0.038248,0.110559
172.49585,-0.000942,-0.041212,0.103804
172.5,-0.00116,-0.039423,0.102138
172.50415,-0.000934,-0.040616,0.107835
172.508301,-0.000941,-0.042325,0.119512
172.512573,-0.001034,-0.039456,0.132082
172.516724,-0.000963,-0.039175,0.13993
172.520874,-0.001056,-0.041736,0.140627
172.525024,-0.000848,-0.038605,0.135204
